site,label,label 2,label 3
msnbc.website,fake,,
myfreshnews.com,fake,bias,
myzonetoday.com,fake,bias,
nationonenews.com,fake,conspiracy,
nbc.com.co,fake,,
nephef.com,fake,,
newpoliticstoday.com,fake,,
news4ktla.com,fake,satire,
newsbbc.net,fake,,
newsbreakshere.com,fake,,
newsbysquad.com,fake,,
newsdaily12.com,fake,,
newsexaminer.net,fake,satire, 
newsfrompolitics.com,fake,,
newsleak.co,fake,,
newslo.com,fake,,
newsmagazine.com,fake,,
newswatch28.com,fake,,
newswatch33.com,fake,,
newswithviews.com,fake,conspiracy,
now8news.com,fake,,
onepoliticalplaza.com,fake,,
onlineconservativepress.com,fake,conspiracy,bias
openmagazines.com,fake,,
pakalertpress.com,fake,,
politicalo.com,fake, ,
politicalsitenews.com,fake,,
politicalupdator.com,fake,clickbait,bias
politicono.com,fake,,
politicsusanews.com,fake,,
president45donaldtrump.com,fake,,
prntly.com,fake,,
proamericanews.com,fake,,
proudcons.com,fake,bias,
react365.com,fake,,
realnewsrightnow.com,fake,satire,
redcountry.us,fake,,
redrocktribune.com,fake,,
religionmind.com,fake,,
rhotv.com,fake,,
rickwells.us,fake,conspiracy,
rilenews.com,fake,satire,
rogue-nation3.com,fake,,
rumorjournal.com,fake,,
smag31.com,fake,unreliable,
socialeverythings.com,fake,,
stormcloudsgathering.com,fake,,
subjectpolitics.com,fake,bias,
success-street.com,fake,clickbait,
supremepatriot.com,fake,bias,
TDTalliance.com,fake,,
teaparty.org,fake,unreliable,
thatviralfeed.net,fake,unreliable,
the-insider.co,fake,,
theamericanindependent.wordpress.com,fake,bias,
thebigriddle.com,fake,,
thebostontribune.com,fake,,
thecommonsenseshow.com,fake,conspiracy,
thecontroversialfiles.net,fake,clickbait, 
thefreepatriot.org,fake,bias,clickbait
theinternetpost.net,fake,,
thelastgreatstand.com,fake,conspiracy,bias
themoralofthestory.us,fake,,
thenet24h.com,fake,,
thenewyorkevening.com,fake,,
theracketreport.com,fake,satire,
thereporterz.com,fake,,
therightscoop.com,fake,clickbait,
thetrumpmedia.com,fake,,
thetruthdivision.com,fake,bias,
thetruthseeker.co.uk,fake,conspiracy,junksci
theusa-news.com,fake,,
thewashingtonpress.com,fake,,
threepercenternation.com,fake,conspiracy,bias
times.com.mx,fake,,
tmzworldnews.com,fake,,
trueamericans.me,fake,,
truetrumpers.com,fake,,
trumpvision365.com,fake,,
undergroundnewsreport.com,fake,,
undergroundworldnews.com,fake,conspiracy,bias
unitedmediapublishing.com,fake,,
universepolitics.com,fake,,
usa-radio.com,fake,,
usa-television.com,fake,,
usa2016elections.com,fake,,
usadailyinfo.com,fake,,
usadailypolitics.com,fake,,
usadailytime.com,fake,,
usadosenews.com,fake,,
usafirstinformation.com,fake,,
usahitman.com,fake,conspiracy,
